rank1,rank2,rank3,rank4,rank5,count
Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,1
Brad Lander,Zohran Kwame Mamdani,Selma K. Bartholomew,Andrew M. Cuomo,Jessica Ramos,1
Paperboy Love Prince,Brad Lander,Whitney R. Tilson,Zellnor Myrie,,1
Selma K. Bartholomew,Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,1
Scott M. Stringer,Whitney R. Tilson,Paperboy Love Prince,Andrew M. Cuomo,,1
Candidate Write-in,Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Whitney R. Tilson,1
Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,Whitney R. Tilson,,1
Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,Zellnor Myrie,Brad Lander,1
Zellnor Myrie,Paperboy Love Prince,Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,1
Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Michael Blake,Adrienne E. Adams,1
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Andrew M. Cuomo,Candidate Write-in,1
Michael Blake,Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,1
Brad Lander,Michael Blake,Scott M. Stringer,Adrienne E. Adams,,1
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Michael Blake,,1
Candidate Write-in,Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,,1
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Candidate Write-in,1
Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Selma K. Bartholomew,Adrienne E. Adams,1
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,1
Paperboy Love Prince,Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,1
Brad Lander,Zellnor Myrie,Jessica Ramos,Andrew M. Cuomo,Michael Blake,1
Brad Lander,Jessica Ramos,Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,1
Brad Lander,Jessica Ramos,Scott M. Stringer,Selma K. Bartholomew,Michael Blake,1
Scott M. Stringer,Whitney R. Tilson,Paperboy Love Prince,Zellnor Myrie,Andrew M. Cuomo,1
Scott M. Stringer,Adrienne E. Adams,Selma K. Bartholomew,,,1
Adrienne E. Adams,Selma K. Bartholomew,Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,1
Whitney R. Tilson,Jessica Ramos,Zellnor Myrie,Adrienne E. Adams,Andrew M. Cuomo,1
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Zohran Kwame Mamdani,Whitney R. Tilson,1
Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,Whitney R. Tilson,Zellnor Myrie,1
Jessica Ramos,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Whitney R. Tilson,1
Whitney R. Tilson,Brad Lander,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,1
Zohran Kwame Mamdani,Paperboy Love Prince,Whitney R. Tilson,Adrienne E. Adams,,1
Brad Lander,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,Zohran Kwame Mamdani,1
Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,1
Selma K. Bartholomew,Adrienne E. Adams,Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,1
Whitney R. Tilson,Michael Blake,Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Zellnor Myrie,,1
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Andrew M. Cuomo,,1
Candidate Write-in,Andrew M. Cuomo,Zellnor Myrie,Selma K. Bartholomew,,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,Candidate Write-in,1
Andrew M. Cuomo,Paperboy Love Prince,Michael Blake,Scott M. Stringer,Jessica Ramos,1
Zellnor Myrie,Michael Blake,Andrew M. Cuomo,Zohran Kwame Mamdani,Selma K. Bartholomew,1
Candidate Write-in,Paperboy Love Prince,Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,1
Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Andrew M. Cuomo,Jessica Ramos,1
Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,Scott M. Stringer,Zellnor Myrie,1
Paperboy Love Prince,Adrienne E. Adams,Whitney R. Tilson,Michael Blake,Jessica Ramos,1
Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,Paperboy Love Prince,,1
Andrew M. Cuomo,Jessica Ramos,Candidate Write-in,Whitney R. Tilson,,1
Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,,1
Brad Lander,Whitney R. Tilson,Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,1
Selma K. Bartholomew,Adrienne E. Adams,Brad Lander,Jessica Ramos,,1
Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Scott M. Stringer,Selma K. Bartholomew,1
Candidate Write-in,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Selma K. Bartholomew,1
Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,Whitney R. Tilson,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Candidate Write-in,1
Candidate Write-in,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,1
Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,Adrienne E. Adams,Selma K. Bartholomew,1
Whitney R. Tilson,Selma K. Bartholomew,Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,1
Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Selma K. Bartholomew,Whitney R. Tilson,1
Andrew M. Cuomo,Jessica Ramos,Michael Blake,Adrienne E. Adams,,1
Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,1
Brad Lander,Paperboy Love Prince,Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,1
Paperboy Love Prince,Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,1
Brad Lander,Andrew M. Cuomo,Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,1
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Paperboy Love Prince,Whitney R. Tilson,1
Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Michael Blake,1
Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Michael Blake,Paperboy Love Prince,1
Adrienne E. Adams,Michael Blake,Brad Lander,Paperboy Love Prince,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Brad Lander,Zellnor Myrie,1
Selma K. Bartholomew,Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Scott M. Stringer,1
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Zellnor Myrie,Scott M. Stringer,1
Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Brad Lander,Andrew M. Cuomo,1
Brad Lander,Michael Blake,Scott M. Stringer,Adrienne E. Adams,Paperboy Love Prince,1
Whitney R. Tilson,Brad Lander,Adrienne E. Adams,Michael Blake,Scott M. Stringer,1
Whitney R. Tilson,Scott M. Stringer,Brad Lander,Selma K. Bartholomew,Andrew M. Cuomo,1
Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Michael Blake,1
Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Adrienne E. Adams,,1
Brad Lander,Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,1
Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,Scott M. Stringer,Selma K. Bartholomew,1
Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,Scott M. Stringer,Candidate Write-in,1
Adrienne E. Adams,Candidate Write-in,Jessica Ramos,Zellnor Myrie,Paperboy Love Prince,1
Jessica Ramos,Zellnor Myrie,Brad Lander,Selma K. Bartholomew,Andrew M. Cuomo,1
Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,Jessica Ramos,Brad Lander,1
Whitney R. Tilson,Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,1
Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Paperboy Love Prince,Selma K. Bartholomew,1
Michael Blake,Andrew M. Cuomo,Jessica Ramos,Brad Lander,,1
Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Selma K. Bartholomew,Michael Blake,1
Scott M. Stringer,Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,Jessica Ramos,1
Michael Blake,Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,Andrew M. Cuomo,1
Michael Blake,Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,,1
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,,1
Adrienne E. Adams,Zohran Kwame Mamdani,Selma K. Bartholomew,Scott M. Stringer,Jessica Ramos,1
Scott M. Stringer,Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Whitney R. Tilson,1
Whitney R. Tilson,Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,1
Andrew M. Cuomo,Michael Blake,Brad Lander,Zellnor Myrie,,1
Zellnor Myrie,Jessica Ramos,Brad Lander,Selma K. Bartholomew,Andrew M. Cuomo,1
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Zellnor Myrie,Candidate Write-in,1
Andrew M. Cuomo,Michael Blake,Scott M. Stringer,Paperboy Love Prince,Zellnor Myrie,1
Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Candidate Write-in,Paperboy Love Prince,1
Andrew M. Cuomo,Paperboy Love Prince,Whitney R. Tilson,Selma K. Bartholomew,Brad Lander,1
Andrew M. Cuomo,Jessica Ramos,,,,1
Whitney R. Tilson,Selma K. Bartholomew,Zohran Kwame Mamdani,Michael Blake,Andrew M. Cuomo,1
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,Michael Blake,,1
Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,1
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Andrew M. Cuomo,Selma K. Bartholomew,1
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,Jessica Ramos,,1
Candidate Write-in,Selma K. Bartholomew,Paperboy Love Prince,Zellnor Myrie,Brad Lander,1
Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Brad Lander,1
Brad Lander,Andrew M. Cuomo,Michael Blake,Paperboy Love Prince,Candidate Write-in,1
Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,,1
Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Zohran Kwame Mamdani,Michael Blake,1
Andrew M. Cuomo,Selma K. Bartholomew,Scott M. Stringer,Paperboy Love Prince,Brad Lander,1
Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,Michael Blake,Andrew M. Cuomo,1
Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,Michael Blake,Paperboy Love Prince,1
Brad Lander,Michael Blake,Zellnor Myrie,Zohran Kwame Mamdani,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Whitney R. Tilson,1
Adrienne E. Adams,Paperboy Love Prince,Michael Blake,Whitney R. Tilson,Scott M. Stringer,1
Andrew M. Cuomo,Michael Blake,Brad Lander,Whitney R. Tilson,Selma K. Bartholomew,1
Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,1
Whitney R. Tilson,Zohran Kwame Mamdani,Zellnor Myrie,Andrew M. Cuomo,Paperboy Love Prince,1
Michael Blake,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,1
Michael Blake,Adrienne E. Adams,Whitney R. Tilson,Andrew M. Cuomo,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,Candidate Write-in,Selma K. Bartholomew,1
Adrienne E. Adams,Michael Blake,Jessica Ramos,Whitney R. Tilson,Paperboy Love Prince,1
Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,1
Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Selma K. Bartholomew,Paperboy Love Prince,1
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Brad Lander,,1
Scott M. Stringer,Michael Blake,Andrew M. Cuomo,Zellnor Myrie,Selma K. Bartholomew,1
Whitney R. Tilson,Michael Blake,Paperboy Love Prince,Jessica Ramos,Candidate Write-in,1
Adrienne E. Adams,Scott M. Stringer,Michael Blake,Zohran Kwame Mamdani,,1
Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,1
Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,Scott M. Stringer,Jessica Ramos,1
Zohran Kwame Mamdani,Adrienne E. Adams,,,,1
Andrew M. Cuomo,Michael Blake,Zohran Kwame Mamdani,Whitney R. Tilson,Adrienne E. Adams,1
Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,Michael Blake,,1
Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,Andrew M. Cuomo,,1
Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,Jessica Ramos,Brad Lander,1
Michael Blake,Jessica Ramos,Zellnor Myrie,Selma K. Bartholomew,,1
Whitney R. Tilson,Michael Blake,Selma K. Bartholomew,Scott M. Stringer,Zohran Kwame Mamdani,1
Brad Lander,Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Michael Blake,1
Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Brad Lander,1
Zellnor Myrie,Adrienne E. Adams,Paperboy Love Prince,Zohran Kwame Mamdani,Jessica Ramos,1
Adrienne E. Adams,Michael Blake,Jessica Ramos,Brad Lander,Selma K. Bartholomew,1
Selma K. Bartholomew,Andrew M. Cuomo,Michael Blake,Paperboy Love Prince,,1
Paperboy Love Prince,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,,1
Brad Lander,Scott M. Stringer,Whitney R. Tilson,Jessica Ramos,Paperboy Love Prince,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Andrew M. Cuomo,Candidate Write-in,1
Adrienne E. Adams,Andrew M. Cuomo,Whitney R. Tilson,Zellnor Myrie,Selma K. Bartholomew,1
Michael Blake,Andrew M. Cuomo,Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,1
Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,,1
Adrienne E. Adams,Michael Blake,Andrew M. Cuomo,Selma K. Bartholomew,,1
Michael Blake,Selma K. Bartholomew,Adrienne E. Adams,Scott M. Stringer,,1
Andrew M. Cuomo,Michael Blake,Brad Lander,,,1
Candidate Write-in,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Zellnor Myrie,1
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Andrew M. Cuomo,Michael Blake,1
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Zohran Kwame Mamdani,1
Jessica Ramos,Brad Lander,Zellnor Myrie,Scott M. Stringer,Whitney R. Tilson,1
Zellnor Myrie,Michael Blake,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,1
Candidate Write-in,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,1
Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,Zellnor Myrie,1
Adrienne E. Adams,Michael Blake,Candidate Write-in,Zellnor Myrie,Paperboy Love Prince,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Andrew M. Cuomo,Michael Blake,Whitney R. Tilson,1
Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Zohran Kwame Mamdani,1
Michael Blake,Andrew M. Cuomo,Whitney R. Tilson,,,1
Whitney R. Tilson,Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,Scott M. Stringer,1
Zohran Kwame Mamdani,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,Andrew M. Cuomo,1
Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Michael Blake,Zohran Kwame Mamdani,1
Andrew M. Cuomo,Whitney R. Tilson,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,1
Adrienne E. Adams,Brad Lander,Selma K. Bartholomew,Michael Blake,Scott M. Stringer,1
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,,1
Candidate Write-in,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,,1
Andrew M. Cuomo,Brad Lander,Michael Blake,Whitney R. Tilson,Zellnor Myrie,1
Selma K. Bartholomew,Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Adrienne E. Adams,1
Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,Scott M. Stringer,,1
Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,Zellnor Myrie,Michael Blake,1
Andrew M. Cuomo,Selma K. Bartholomew,Scott M. Stringer,Zellnor Myrie,,1
Zohran Kwame Mamdani,Whitney R. Tilson,Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,1
Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,1
Paperboy Love Prince,Candidate Write-in,Andrew M. Cuomo,Jessica Ramos,,1
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Brad Lander,Paperboy Love Prince,1
Zellnor Myrie,Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,Brad Lander,1
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Brad Lander,,1
Whitney R. Tilson,Michael Blake,Brad Lander,Andrew M. Cuomo,,1
Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Michael Blake,Andrew M. Cuomo,1
Michael Blake,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,1
Adrienne E. Adams,Whitney R. Tilson,Michael Blake,Scott M. Stringer,Zellnor Myrie,1
Selma K. Bartholomew,Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,Brad Lander,1
Andrew M. Cuomo,Brad Lander,Michael Blake,Scott M. Stringer,,1
Andrew M. Cuomo,Paperboy Love Prince,Adrienne E. Adams,Whitney R. Tilson,,1
Andrew M. Cuomo,Brad Lander,Michael Blake,Selma K. Bartholomew,Whitney R. Tilson,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Whitney R. Tilson,1
Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Jessica Ramos,Andrew M. Cuomo,1
Andrew M. Cuomo,Selma K. Bartholomew,Jessica Ramos,Scott M. Stringer,,1
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Paperboy Love Prince,,1
Adrienne E. Adams,Michael Blake,Jessica Ramos,Selma K. Bartholomew,,1
Zohran Kwame Mamdani,Candidate Write-in,Brad Lander,Michael Blake,Paperboy Love Prince,1
Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Andrew M. Cuomo,Selma K. Bartholomew,1
Paperboy Love Prince,Candidate Write-in,Michael Blake,Zohran Kwame Mamdani,Andrew M. Cuomo,1
Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Selma K. Bartholomew,Zellnor Myrie,1
Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Selma K. Bartholomew,Michael Blake,1
Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,Scott M. Stringer,Michael Blake,1
Scott M. Stringer,Michael Blake,Brad Lander,Whitney R. Tilson,Selma K. Bartholomew,1
Adrienne E. Adams,Paperboy Love Prince,Michael Blake,Jessica Ramos,,1
Whitney R. Tilson,Michael Blake,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,1
Zellnor Myrie,Andrew M. Cuomo,Brad Lander,Michael Blake,Whitney R. Tilson,1
Andrew M. Cuomo,Michael Blake,Zohran Kwame Mamdani,Whitney R. Tilson,Selma K. Bartholomew,1
Andrew M. Cuomo,Paperboy Love Prince,Michael Blake,Jessica Ramos,Zellnor Myrie,1
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Andrew M. Cuomo,,1
Zohran Kwame Mamdani,Whitney R. Tilson,Selma K. Bartholomew,Brad Lander,Adrienne E. Adams,1
Zohran Kwame Mamdani,Jessica Ramos,Zellnor Myrie,Brad Lander,,1
Selma K. Bartholomew,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,,1
Brad Lander,Candidate Write-in,Michael Blake,Scott M. Stringer,Paperboy Love Prince,1
Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,1
Jessica Ramos,Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,Brad Lander,1
Adrienne E. Adams,Zellnor Myrie,Michael Blake,Selma K. Bartholomew,,1
Whitney R. Tilson,Andrew M. Cuomo,,,,1
Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Candidate Write-in,Paperboy Love Prince,1
Zellnor Myrie,Paperboy Love Prince,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,1
Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Zohran Kwame Mamdani,Selma K. Bartholomew,1
Whitney R. Tilson,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Michael Blake,1
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Zellnor Myrie,Candidate Write-in,1
Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Paperboy Love Prince,Michael Blake,1
Candidate Write-in,Paperboy Love Prince,Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,1
Paperboy Love Prince,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Andrew M. Cuomo,1
Whitney R. Tilson,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Andrew M. Cuomo,1
Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,,1
Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,Brad Lander,Scott M. Stringer,1
Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Candidate Write-in,1
Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,Jessica Ramos,,1
Adrienne E. Adams,Brad Lander,Jessica Ramos,Zellnor Myrie,,1
Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,,1
Michael Blake,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,,1
Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Adrienne E. Adams,Michael Blake,1
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Candidate Write-in,Adrienne E. Adams,1
Zellnor Myrie,Brad Lander,Whitney R. Tilson,Zohran Kwame Mamdani,Paperboy Love Prince,1
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,1
Scott M. Stringer,Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,1
Selma K. Bartholomew,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,1
Adrienne E. Adams,Zohran Kwame Mamdani,Selma K. Bartholomew,Andrew M. Cuomo,,1
Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,Candidate Write-in,Selma K. Bartholomew,1
Zohran Kwame Mamdani,Paperboy Love Prince,Whitney R. Tilson,Brad Lander,Selma K. Bartholomew,1
Brad Lander,Paperboy Love Prince,Selma K. Bartholomew,Adrienne E. Adams,,1
Brad Lander,Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Candidate Write-in,1
Selma K. Bartholomew,Brad Lander,Whitney R. Tilson,Zellnor Myrie,Zohran Kwame Mamdani,1
Zohran Kwame Mamdani,Selma K. Bartholomew,Michael Blake,Paperboy Love Prince,Adrienne E. Adams,1
Jessica Ramos,Zohran Kwame Mamdani,Selma K. Bartholomew,Zellnor Myrie,Whitney R. Tilson,1
Adrienne E. Adams,Paperboy Love Prince,Jessica Ramos,Whitney R. Tilson,Michael Blake,1
Whitney R. Tilson,Jessica Ramos,Brad Lander,Zohran Kwame Mamdani,,1
Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,Michael Blake,Scott M. Stringer,1
Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,Michael Blake,Candidate Write-in,1
Andrew M. Cuomo,Jessica Ramos,Michael Blake,Brad Lander,,1
Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,Candidate Write-in,1
Michael Blake,Zellnor Myrie,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,1
Scott M. Stringer,Zellnor Myrie,Candidate Write-in,,,1
Michael Blake,Jessica Ramos,Adrienne E. Adams,Zohran Kwame Mamdani,Paperboy Love Prince,1
Adrienne E. Adams,Brad Lander,Jessica Ramos,Andrew M. Cuomo,Scott M. Stringer,1
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,,1
Andrew M. Cuomo,Whitney R. Tilson,Jessica Ramos,Candidate Write-in,,1
Selma K. Bartholomew,Brad Lander,Scott M. Stringer,Adrienne E. Adams,,1
Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,1
Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Michael Blake,Candidate Write-in,1
Andrew M. Cuomo,Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,Zellnor Myrie,1
Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,1
Zohran Kwame Mamdani,Whitney R. Tilson,Andrew M. Cuomo,Zellnor Myrie,Michael Blake,1
Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,1
Adrienne E. Adams,Paperboy Love Prince,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,1
Michael Blake,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Candidate Write-in,1
Jessica Ramos,Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,1
Andrew M. Cuomo,Paperboy Love Prince,Brad Lander,Selma K. Bartholomew,Zellnor Myrie,1
Scott M. Stringer,Brad Lander,Paperboy Love Prince,Jessica Ramos,,1
Scott M. Stringer,Brad Lander,Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,1
Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,Brad Lander,Zellnor Myrie,1
Adrienne E. Adams,Brad Lander,Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,1
