rank1,rank2,rank3,rank4,rank5,count
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,,,270
Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,,,266
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Michael Blake,Zellnor Myrie,264
Zohran Kwame Mamdani,Selma K. Bartholomew,,,,263
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Scott M. Stringer,263
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Paperboy Love Prince,263
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,263
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Adrienne E. Adams,262
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,Michael Blake,261
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zellnor Myrie,259
Andrew M. Cuomo,Candidate Write-in,,,,259
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Brad Lander,,258
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Brad Lander,,258
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,258
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,257
Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,,,257
Adrienne E. Adams,Scott M. Stringer,,,,256
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,256
Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,,,255
Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,,,255
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Brad Lander,254
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Jessica Ramos,254
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Brad Lander,Zellnor Myrie,250
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,,249
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,Jessica Ramos,249
Brad Lander,Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Adrienne E. Adams,249
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Scott M. Stringer,248
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,,247
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,,,246
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,245
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,244
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,Jessica Ramos,243
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,,242
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,Paperboy Love Prince,242
Selma K. Bartholomew,,,,,239
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Adrienne E. Adams,,239
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,,,237
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Zellnor Myrie,236
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,236
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,234
Andrew M. Cuomo,Selma K. Bartholomew,,,,233
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,,,233
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,,232
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,,,231
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,230
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,229
