rank1,rank2,rank3,rank4,rank5,count
Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,220
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Brad Lander,Zellnor Myrie,219
Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,,,218
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Brad Lander,Zellnor Myrie,218
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,,217
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Brad Lander,,216
Andrew M. Cuomo,Selma K. Bartholomew,,,,215
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,,,215
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Jessica Ramos,212
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,212
Brad Lander,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,211
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Michael Blake,211
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,210
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,210
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Brad Lander,210
Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,,,209
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Michael Blake,Zellnor Myrie,209
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,Scott M. Stringer,209
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,,208
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Scott M. Stringer,,208
Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,,208
Brad Lander,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,208
Scott M. Stringer,Brad Lander,Adrienne E. Adams,,,207
Andrew M. Cuomo,Marty Dolan,,,,207
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Adrienne E. Adams,,206
Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,,,205
Brad Lander,Adrienne E. Adams,Jenifer Rajkumar,,,205
Whitney R. Tilson,Marty Dolan,,,,205
Adrienne E. Adams,Brad Lander,Zellnor Myrie,Michael Blake,Jumaane D. Williams,205
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Zellnor Myrie,204
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Jumaane D. Williams,,204
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Paperboy Love Prince,203
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,203
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Jumaane D. Williams,202
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,201
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Zellnor Myrie,200
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,200
Zohran Kwame Mamdani,Selma K. Bartholomew,,,,200
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Jumaane D. Williams,199
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,198
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Jumaane D. Williams,198
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,196
Adrienne E. Adams,Scott M. Stringer,Brad Lander,,,195
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Jessica Ramos,195
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,194
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Scott M. Stringer,194
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,,,194
Brad Lander,Michael Blake,Zellnor Myrie,Adrienne E. Adams,Jenifer Rajkumar,193
Jessica Ramos,Marty Dolan,,,,193
Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Scott M. Stringer,,192
Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zellnor Myrie,,192
Brad Lander,Scott M. Stringer,Jenifer Rajkumar,,,192
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Andrew M. Cuomo,191
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,Paperboy Love Prince,190
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,,188
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Brad Lander,Scott M. Stringer,188
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,187
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Jessica Ramos,Zellnor Myrie,186
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,Michael Blake,185
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Jumaane D. Williams,185
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,184
Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Adrienne E. Adams,Zellnor Myrie,184
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Michael Blake,Jumaane D. Williams,184
Scott M. Stringer,Adrienne E. Adams,,,,183
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,,182
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,181
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Jessica Ramos,181
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Selma K. Bartholomew,181
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,Paperboy Love Prince,180
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Jumaane D. Williams,,180
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,179
Andrew M. Cuomo,Zohran Kwame Mamdani,Zellnor Myrie,,,179
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Zellnor Myrie,Brad Lander,178
Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,,,178
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Michael Blake,177
Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,,,177
Andrew M. Cuomo,Scott M. Stringer,Michael Blake,,,177
Brad Lander,Michael Blake,Jumaane D. Williams,,,177
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Michael Blake,175
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jessica Ramos,Adrienne E. Adams,175
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Brad Lander,175
Whitney R. Tilson,Andrew M. Cuomo,Scott M. Stringer,,,174
Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,,,174
Adrienne E. Adams,Marty Dolan,,,,174
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,,173
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Michael Blake,172
Brad Lander,Adrienne E. Adams,Michael Blake,Scott M. Stringer,Jumaane D. Williams,172
Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,Zellnor Myrie,Jessica Ramos,170
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,,170
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,170
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,170
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Zellnor Myrie,170
Andrew M. Cuomo,Michael Blake,Adrienne E. Adams,,,170
Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,,,170
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,169
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,,168
Zohran Kwame Mamdani,Marty Dolan,,,,168
Zellnor Myrie,Brad Lander,Adrienne E. Adams,Whitney R. Tilson,Zohran Kwame Mamdani,167
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Michael Blake,Zohran Kwame Mamdani,167
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,167
Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zellnor Myrie,Jenifer Rajkumar,167
Brad Lander,Zellnor Myrie,Jumaane D. Williams,,,167
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Whitney R. Tilson,Adrienne E. Adams,166
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,166
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Jessica Ramos,166
Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,,,165
Zohran Kwame Mamdani,Brad Lander,Jumaane D. Williams,,,164
Brad Lander,Andrew M. Cuomo,Whitney R. Tilson,,,163
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,163
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Michael Blake,163
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,162
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,,162
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Zellnor Myrie,162
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,161
Andrew M. Cuomo,Jessica Ramos,Adrienne E. Adams,,,160
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Brad Lander,,159
Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,158
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,158
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Michael Blake,Scott M. Stringer,158
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,158
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,157
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,157
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,157
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,Paperboy Love Prince,156
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,155
Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,,,155
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,154
Adrienne E. Adams,Michael Blake,,,,154
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Jessica Ramos,153
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,,153
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Zellnor Myrie,Brad Lander,153
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Paperboy Love Prince,,153
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,152
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Zellnor Myrie,152
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Zellnor Myrie,152
Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,,,152
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Paperboy Love Prince,149
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Scott M. Stringer,148
Scott M. Stringer,Adrienne E. Adams,Brad Lander,,,148
Andrew M. Cuomo,Whitney R. Tilson,Jessica Ramos,,,147
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,147
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,147
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,146
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Zellnor Myrie,146
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Jessica Ramos,146
Whitney R. Tilson,Scott M. Stringer,Jenifer Rajkumar,,,146
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,145
Adrienne E. Adams,Brad Lander,Zellnor Myrie,,,145
Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,,,145
Brad Lander,Scott M. Stringer,Marty Dolan,,,145
Brad Lander,Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,,144
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,144
Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Brad Lander,Zellnor Myrie,144
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Jessica Ramos,144
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jessica Ramos,Zellnor Myrie,144
Andrew M. Cuomo,Zellnor Myrie,Brad Lander,,,144
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Jumaane D. Williams,,144
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Jenifer Rajkumar,144
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,143
Brad Lander,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Jumaane D. Williams,143
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,142
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,,142
Zellnor Myrie,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,141
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Jessica Ramos,Scott M. Stringer,141
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,140
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,140
Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,Brad Lander,,139
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Scott M. Stringer,Zellnor Myrie,139
Scott M. Stringer,Brad Lander,Marty Dolan,,,139
Brad Lander,Andrew M. Cuomo,Jumaane D. Williams,,,139
Adrienne E. Adams,Michael Blake,Jumaane D. Williams,,,139
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Whitney R. Tilson,138
Brad Lander,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Andrew M. Cuomo,138
Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,,138
Andrew M. Cuomo,Brad Lander,Jessica Ramos,,,138
Andrew M. Cuomo,Jessica Ramos,Brad Lander,,,138
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Michael Blake,138
Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,,,137
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,,137
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,,,137
Andrew M. Cuomo,Brad Lander,Jumaane D. Williams,,,137
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,,136
Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,,,136
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Zellnor Myrie,,136
Zellnor Myrie,Andrew M. Cuomo,,,,136
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Scott M. Stringer,136
Andrew M. Cuomo,Zohran Kwame Mamdani,Michael Blake,,,136
Brad Lander,Zellnor Myrie,Michael Blake,Adrienne E. Adams,Jenifer Rajkumar,136
Andrew M. Cuomo,Adrienne E. Adams,Jumaane D. Williams,,,136
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Scott M. Stringer,Adrienne E. Adams,135
Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,,,135
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Paperboy Love Prince,135
Adrienne E. Adams,Brad Lander,Michael Blake,Zellnor Myrie,Jumaane D. Williams,135
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,,134
Brad Lander,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,,134
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Michael Blake,134
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,134
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Whitney R. Tilson,133
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,133
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,133
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,133
Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,133
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Jumaane D. Williams,133
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,,132
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,,,132
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,,132
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Michael Blake,Brad Lander,132
Scott M. Stringer,Brad Lander,Jenifer Rajkumar,,,132
Whitney R. Tilson,Andrew M. Cuomo,Brad Lander,,,130
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Adrienne E. Adams,,130
Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Brad Lander,Adrienne E. Adams,130
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,Michael Blake,129
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Michael Blake,129
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,,129
Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,Adrienne E. Adams,Brad Lander,129
Adrienne E. Adams,Andrew M. Cuomo,Jumaane D. Williams,,,129
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Paperboy Love Prince,Jumaane D. Williams,129
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Adrienne E. Adams,Scott M. Stringer,128
Adrienne E. Adams,Brad Lander,Zellnor Myrie,Scott M. Stringer,Jumaane D. Williams,128
Brad Lander,Zellnor Myrie,Andrew M. Cuomo,,,127
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,127
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Scott M. Stringer,Adrienne E. Adams,127
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,127
Brad Lander,Jessica Ramos,Jumaane D. Williams,,,127
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,Zellnor Myrie,126
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Michael Blake,,126
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,Michael Blake,126
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,Zohran Kwame Mamdani,126
Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,126
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,,126
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,125
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,,125
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Selma K. Bartholomew,125
Scott M. Stringer,Zohran Kwame Mamdani,,,,125
Michael Blake,Jumaane D. Williams,,,,125
Brad Lander,Whitney R. Tilson,,,,124
Brad Lander,Scott M. Stringer,Zellnor Myrie,,,124
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,124
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,124
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,124
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Michael Blake,Adrienne E. Adams,124
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,124
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Michael Blake,Brad Lander,124
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,123
Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,,,123
Whitney R. Tilson,Brad Lander,Andrew M. Cuomo,,,123
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Michael Blake,123
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,123
Michael Blake,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Jumaane D. Williams,123
Adrienne E. Adams,Brad Lander,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,122
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,,,122
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Andrew M. Cuomo,122
Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,122
Zohran Kwame Mamdani,Brad Lander,Selma K. Bartholomew,,,122
Jessica Ramos,Andrew M. Cuomo,,,,122
Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,,,121
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,Zohran Kwame Mamdani,120
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Michael Blake,120
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Michael Blake,Jumaane D. Williams,120
Adrienne E. Adams,Zellnor Myrie,Jumaane D. Williams,,,120
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Jumaane D. Williams,120
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Andrew M. Cuomo,119
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Michael Blake,119
Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Brad Lander,Adrienne E. Adams,119
Zohran Kwame Mamdani,Scott M. Stringer,Jumaane D. Williams,,,119
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Michael Blake,118
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Jessica Ramos,Adrienne E. Adams,118
Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Zellnor Myrie,Adrienne E. Adams,118
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,118
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Jessica Ramos,,117
Zohran Kwame Mamdani,Brad Lander,Selma K. Bartholomew,Adrienne E. Adams,Jessica Ramos,117
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Brad Lander,Scott M. Stringer,117
Brad Lander,Paperboy Love Prince,Jumaane D. Williams,,,117
Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,,,116
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,116
Brad Lander,Zohran Kwame Mamdani,Jumaane D. Williams,,,116
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Marty Dolan,116
Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,,,115
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,,,115
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Jessica Ramos,Selma K. Bartholomew,115
Brad Lander,Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Jumaane D. Williams,115
Brad Lander,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,Jumaane D. Williams,115
Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Scott M. Stringer,114
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,114
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Jessica Ramos,114
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,,114
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Zellnor Myrie,Adrienne E. Adams,114
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Scott M. Stringer,114
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,Selma K. Bartholomew,114
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Zellnor Myrie,Michael Blake,114
Brad Lander,Adrienne E. Adams,Michael Blake,Jumaane D. Williams,,114
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,113
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Paperboy Love Prince,113
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,113
Zellnor Myrie,Adrienne E. Adams,,,,113
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,112
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,,112
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,,112
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,,,112
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Jenifer Rajkumar,112
