rank1,rank2,rank3,rank4,rank5,count
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Jessica Ramos,Jumaane D. Williams,464
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,Adrienne E. Adams,463
Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,,,457
Andrew M. Cuomo,Brad Lander,Whitney R. Tilson,,,454
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,Paperboy Love Prince,444
Andrew M. Cuomo,Paperboy Love Prince,,,,443
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,Paperboy Love Prince,443
Brad Lander,Scott M. Stringer,Jumaane D. Williams,,,439
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,Jessica Ramos,438
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,,431
Adrienne E. Adams,Zohran Kwame Mamdani,,,,429
Whitney R. Tilson,Jenifer Rajkumar,,,,427
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Adrienne E. Adams,,421
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,417
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Michael Blake,409
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,,407
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,Michael Blake,405
Zohran Kwame Mamdani,Jenifer Rajkumar,,,,399
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,Jumaane D. Williams,398
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,,,396
Scott M. Stringer,Brad Lander,,,,393
Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,,,390
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,384
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,,383
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,,383
Jessica Ramos,Jumaane D. Williams,,,,382
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,,376
Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,,,374
Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,,,373
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,,367
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,,361
Write-In,,,,,360
Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Marty Dolan,359
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,,,358
Adrienne E. Adams,Jenifer Rajkumar,,,,356
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,Paperboy Love Prince,355
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,355
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,,352
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Michael Blake,347
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,346
Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,,,346
Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Jenifer Rajkumar,344
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,,,341
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,,,340
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,339
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,Jessica Ramos,330
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,,329
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,Michael Blake,329
Scott M. Stringer,Jenifer Rajkumar,,,,328
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Brad Lander,,323
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Jessica Ramos,323
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,Scott M. Stringer,320
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,320
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Scott M. Stringer,Adrienne E. Adams,320
Scott M. Stringer,Marty Dolan,,,,319
Zohran Kwame Mamdani,Michael Blake,Brad Lander,,,315
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,,312
Scott M. Stringer,Brad Lander,Andrew M. Cuomo,,,312
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,312
Jessica Ramos,Jenifer Rajkumar,,,,311
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,,310
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Brad Lander,310
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,308
Adrienne E. Adams,Scott M. Stringer,Jumaane D. Williams,,,307
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,304
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,304
Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,,,304
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,,303
Adrienne E. Adams,Brad Lander,Scott M. Stringer,,,299
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,299
